,id,dev response date,dev response,review date,userName,review,rating,isEdited,review title
0,35171306.0,2023-03-02T19:50:01Z,"We're sorry that you're having issues with your service and we would like to help. Please contact us on Facebook (facebook.com/spectrum), Twitter (https://twitter.com/Ask_Spectrum) or visit our customer Community (https://community.spectrum.net) so we can help provide you with a solution.
",2023-03-01 16:55:19,BRANDON. LOVE,"I’ve had spectrum/time Warner Wi-Fi for over decade. It’s been okay. I’ve only had their cellular phone service for almost one year.  I’m a stay at home wife and it mostly works fine at home off my Wi-Fi in the house But it barely works when I’m out and about.  Sometimes it works, sometimes it doesn’t. I can’t count on it. If I’m out doing errands and I need to use the search or pull up an email it sometimes will and sometimes won’t. The map and the weather usually always work off my data but apps, email, websites, it’s very inconvenient. I had the same problem with my last provider that’s why I switched. Before that I had Verizon and they for sure were the best but way too expensive. Before that back, in the day I used Cricket and they were actually really good. The only reason I left them was because I started traveling and they didn’t have as many towers back then, that’s why I went to Verizon but nowadays all cell providers have plenty of towers. Yes it was a thing. Only the big companies like Verizon ATT Sprint, not sure if they’re still around, they were the big companies that had the best cellular coverage and the most towers. 
Anyway, I don’t know why it doesn’t work good outside my home Wi-Fi range.  It’s caused me a few issues now because I needed it to work when I was away from home and it didn’t and yes I made sure that cellular was turning on.",3,False,Spectrum Cellular
1,,,,2023-03-03 00:26:01,samross19,"First of all, if you’re forced to get Spectrum as your wifi, I’m sorry. I was 18 when I first moved to my apartment for college and had to set up Spectrum WiFi. They gave us a router that was 4 generations outdated. It caused our WiFi to go in and out for 2 years. We were able to connect any devices other than laptops and phones to it, which doesn’t seem bad but we had multiple gaming devices that wouldn’t connect either. After two years, the old router finally went out and wouldn’t come back online. After MULTIPLE hours of talking to spectrum about fixing it on our end, they finally said we could bring it in to a store and replace our router for a new one. At 10pm after 24 hours without WiFi (mind you there are 4 college students living here who have work, class, and hw online) we replaced our router for a new one that was multiple generations ahead of what they had given us. We were so angry that they put us through it. We never complain about customer service, but this is the worst experience we’ve ever had. Scammers all around. Not only that, but during storms they will send storm warnings and give you links to check your area, but the links are never accurate and will never take you where you want to go. F spectrum all around.",1,False,Spectrum app and service is a scam
2,34672035.0,2023-02-04T11:32:58Z,"We're sorry that you're having issues with your service and we would like to help. Please contact us on Facebook (facebook.com/spectrum), Twitter (https://twitter.com/Ask_Spectrum) or visit our customer Community (https://community.spectrum.net) so we can help provide you with a solution. ^RJR",2023-02-03 03:35:09,jwhall640,"I’ve spent 26 hours trying to install all of this new stuff that keeps arriving to “upgrade our equipment” and nothing works. The history I could write would take another 26 hours but since I’m NOT being paid (or even credited) for
doing THEIR technician job, I’ll spare you.  Before you get suckered in, check out Alta Fiber or other competitors locally. They were a massive improvement over Time Warner when they purchased it and now, it’s the worst service I’ve ever received and ironically, the most expensive - and - it’s mostly supposed to be entertainment. It costs MORE than my Gas and Electric bill which btw, RARELY goes out and they never ask me, the customer, to self-install unsolicited new upgraded equipment (that ultimately doesn’t work!) SIMPLIFY before continuing to get deeper involved with Spectrum. I think it will be easier to sell this house, but a new one and move starting over with wireless infrastructure for TV and internet than to continue to build on this 23 year old system that enters the home from a single coax cable and then becomes some split octopus of abandoned wiring in my basement. Absolutely the worst company I’ve with which I’ve ever attempted to work. Richard W",1,False,WORST COMPANY EVER!!!
3,,,,2023-01-08 06:20:22,roy william g,"Spectrum is really a poor quality service that don’t tell their customers or keep the customers update then they take their customers free rights away on what kind of router can be installed and who has control which in all aspects those says it should be left me to Port forward nodded some app. There is no security issue with it. They just want to keep a eye on you and that’s how they do because they let anybody know I can get into any IP address regarding the Internet when I was speaking to a representative on the phone they said every network I had on my line that’s kind of crazy and I shouldn’t be asked for why I need a port set up. Questions should be asked that app does not always give me guaranteed to hit port select because it’s grayed out. 
And for me to pay $25 a month can’t have my local channels for this spectrum TV app that’s kind of crazy for the essential plan don’t you get it spectrum cable is outdated so 90s everybody streams now",1,False,Specters really a poor company
4,,,,2023-01-05 04:38:41,Precise23,"First off I was on the phone line with a agent for over 2hrs. I was trying to disconnect my spectrum tv services. I explained to her I have no need for the service and was paying to much. She negotiated with me for over 1hr and did her best to convince me. At the end everything sounded great. I agreed to her lies. She told me to wait 24 to 48hrs to see the adjustment, she told me everything would stay the same. The only thing that would change would be the price. When I finally looked at the updated statement, I noticed that she added us a landline that we never approved or agreed to. She also added us to a program that she never told us about after that came to find out that we were going to pay more than what she had told us. At the end I called back, spoke to a supervisor. He tried making the adjustments and wasn’t able to. I’ve been a loyal customer for over 8yrs. It’s sad to say goodbye.",1,False,Worse customer service
5,35555535.0,2023-03-23T19:57:57Z,I am sorry to hear you are having a poor experience. We can certainly forward this feedback. Thank you for taking the time to share this with us. ^DC,2023-03-22 13:22:12,Koyuk,"It shows my Internet is down and when I click ‘more details’ zero additional data of value.  Their support is garbage.   I don’t blame the agents but their exec management. Had multi day outages and zero detail they could provide.  No updates over time just complete and utter silence.  Clearly they don’t have a grasp on Service Management. Back to the app - click any of the buttons and it leads to a phone number.  Want to upgrade service - call, want to add service - call.   Why show me an option which is of zero use.  I mean there isn’t much folks need to do in an app tied to the service other than update or change plans so why not make it available I. App.   Honestly have zero interest talking to an agent.  The internet service itself isn’t horrible but their inability to provide reasonable updates on outages which are of increasing frequency is pushing us to look elsewhere.",1,False,Basically worthless app
6,,,,2023-03-08 20:00:02,Insekta1701,"A family member suggested I join Spectrum  mobile last year when I needed to close the AT&T account I shared with grandmother, after her death. Deciding not to stay with AT&T, or go to T-Mobile like I was planning to do is the worst decision I’ve made where mobile service is concerned. I live NEAR DOWNTOWN ORLANDO, and not out in the middle of the woods, but with the way my service is always slow, always throttled, you’d think I do. I ABSOLUTELY REGRET HAVING SPECTRUM MOBILE, and as soon as I can pay off in full the iPhone that they regularly turn into an brick for me, I am going to T-Mobile where their plans are actually GENEROUS for the money that you pay them. Signing up with Spectrum Mobile has been a terrible experience for me all around, and once I leave I’ll never come back, nor will I ever recommend the ‘service’ to anyone I know, because it’s THAT BAD.",1,False,Spectrum mobile service is the abysmal.
7,,,,2023-01-29 01:56:17,Renard k,I had trouble getting some technical support help from the company to companies at one time so some confusion between how I can get some connectivity between my tablet and iPhone because I cannot share the same phone number. It was a little hard for me to find any real use with the phone that I already had cause I don’t have any interlinking from the company to the phone seeing how the other beneficiaries of the income that they’re receiving from me by paying a monthly plan and I cannot unlock my phone I did not give me a working telephone number for my tablet so that I can make phone calls plainly because I’m just a customer I could be with the initials in my name it could be anything but they wouldn’t do anything for me and that’s just that there’s nothing to me,2,False,Apple tablet iPhone 14
8,,,,2023-03-28 06:33:11,Usda151,"I recently lost my original debit card that I had on file with all my apps on my phone even my doctors offices. Well, I got a new debit card and had to go through the agonizing task of updating and heavy app. Going to the spectrum app and try to find a way how to put the new car and has been a little tedious. I’m looking on the account page. Nothing that’s why I usually find it and every other app or underneath personal account information. Your app has it when you go to pay the bill not as a generic area that has all your info Stewart, including payment. Which is common with every app. I find yours to be a bit frustrating. Overall that’s the only gripe I have about your app",3,False,Changing payment method
9,,,,2023-02-21 03:52:18,GODOMESS,"I take pride in knowing that I can control my password and give my password out to just anybody who I choose of whom I choose when I choose for money and I can’t do anything about it if I change the password for any reason for lack of payment, due to the fact that they have little to no respect for me, or they do regardless of the situation, it is in spite of knowing that they have the power to say that they don’t care right and that they do I know for certain I will get mine in the end just like the Lord God and then images in the name of the Lord Jesus Christ",5,False,Spectrum services Wi-Fi help
