,id,dev response date,dev response,review date,userName,rating,isEdited,review title,review
0,,,,2023-06-20 21:26:36,TheRealAldo,1,False,Sexist customer service reps,"I’ve been a Spectrum customer for almost 20 years (they were Insight before being bought by Charter).  I was having issues with both the Spectrum TV app and the MySpectrum app.  I was chatting with “Jonathan” via the chat feature on their website because the MySpectrum app wouldn’t load at all.  The representative was troubleshooting the issues and was unable to resolve anything.  He kept stating there was an issue with our internet which I know there wasn’t as I work from home full time utilizing our home internet and I’d had zero issues.  He asked if I could check if any other devices were having issues and I told him my husband doesn’t have the app so I didn’t know.  He then told me he needed to schedule a technician to come out to which I replied no thank you because this is an app issue not an internet issue.  As I’m chatting with him, my husband gets a text and email stating the contact settings have been changed to his information.  Mind you, I am the account owner and my husband was added afterwards as optional when he moved in.  My husband doesn’t even have the app to change anything and I couldn’t access the app to change anything.  So “Jonathan” apparently didn’t like that he couldn’t resolve my issue and didn’t like that a woman is the account owner with my information being the main contact so he changed it to my husband’s email and phone number.  I ended the chat then noticed on their website, there is an app outage."
1,,,,2023-07-19 02:00:17,Martha4415,4,False,My grandparents have never had internet since they bought their home in 1954,"I was out shopping and for some reason the Spectrum store really drew my attention. I stepped in, signed up and 15 minutes latter I had a same day appointment for a first time installation. I did this for my grandparents they  where never much of internet, iPads , computers, and sill have a S5 Iphones….
The spectrum technician Lee was on time. It took him by himself every bit of three hours to install cable from the electricity poll to the house. I felt so bad it was in the middle of June and the temperature was in the three digits. He never complained just smiled and assured my wide eyed grandparents the job would get done by 6pm.  He currently did complete the job on time. The then local channels only tv was transformed into a RUKO smart TV and Pluto Cinema.  
They are slowly progressing over to other applications. But the look on their faces was all made possible by the staff and of course Spectrum.  Thank you  for catching them up to the 21st century… or at least some of it. Thanks for reading !"
2,,,,2023-07-26 22:08:58,EvanGsix,1,False,Customer service?,"Spectrum does not have customer service they just have sale reps that try to sell you stuff instead of fixing your problems, my problem was that they secretly increased my price by 20 dollars and constantly kept down throttling me. I pay for 500Mb internet but could only get about 125Mb on a good day. I figured out that the modem they sent me was not capable of 500mb speeds. So I felt ripped of and switch my provider, well I tried to switch but they wouldn’t let me cancel. I told customer service I did not want any promotion deals because I already have my new internet provider set up. “All I want is to cancel”, And they just kept trying to sell me crap and trying to convince me to cancel with my other provider. I’m an not exaggerating that it took me about an hour to cancel my account, and I talked to a total of 3 different people. I was getting frustrated at this point, during this ordeal I kept hearing the person I was on the phone with giggling like it was a joke and her chattering with people in the background. 

0/10 will never use again"
3,,,,2023-06-30 14:36:50,Josanni B,1,False,Terrible Service. Choose a different provider if you have the option,"I’ve had spectrum for about two years now, as that is the only provider available at my apartment complex. I STILL have not had a full day of my internet working. When it does “work” it’s either slow as molasses, or will just disconnect from everything and reconnect ALL ON ITS OWN in about 5 minutes, which I’d argue is worse than it just not working at all. When I go to my mothers house on the other side of town, the Internet won’t reach any room that is not the living room (where the router and modem are). They have had dozens of techs come out and even upgraded their package for stronger internet that works even WORSE than the cheaper option. If I could give negative stars I really would. Don’t bother calling spectrum unless you want the run around or be told “move somewhere else so you can get better reception”. All the tech did was look at things we already looked at and told us things WE TOLD THEM. Really, really bad service."
4,37863233.0,2023-07-24T10:39:39Z,"We're sorry that you're having issues with your service and we would like to help. Please contact us on Facebook (facebook.com/spectrum), Twitter (https://twitter.com/Ask_Spectrum) or visit our customer Community (https://community.spectrum.net) so we can help provide you with a solution. ^RJR",2023-07-22 19:00:13,Wendy in Wisconsin,1,False,Clueless customer service,"I’ve been trying to get help for two weeks.  Billing , technical support,
Customer service.  All are separate services and they just keep passing you on to another service and you have to explain over and over again.  If while you are talking to them and the call drops they can’t call out to call you back.  Then you try to call back to finish the conversation and you can’t talk to the person you were talking to.  Guess what?  You have to start all over again with a new person.  I bet if they look at the notes they took down while talking to me they’ll see I was passed on to 6-9 people .  Spectrum is great for Internet but are clueless to think they can run a successful mobile company!  I need to get this straightened out so I have a phone that actually can work.  One representative told me today that they began mobile service in 2018.  That’s 5 years ago.  Give it up spectrum because we spread the word and you’re losing all of us."
5,,,,2023-07-06 23:33:50,God's servant 43,4,False,My experience with Spectrum,Spectrum is a great home internet provider! I have only one complaint and that is once a week for the month I’ve had service with them I have to unplug and restart my modem and router and wait about 10 minutes for everything to load up and get back to working in proper fashion. Other than that I have no issues and the people I’ve talked to on customer service a couple of times have been super friendly and knowledgeable and able to answer all my inquiries to satisfaction. I only wish I wasn’t locked into cricket on my phone plan for 6 months bcz spectrums bundle of home internet and phone service is way more affordable than my phone plan with one company and internet thru another.
6,37891017.0,2023-07-25T12:37:04Z,"We're sorry that you're having issues with your service and we would like to help. Please contact us on Facebook (https://bit.ly/3CSjgcE), Twitter (https://bit.ly/2Qqgzrg) or visit our customer Community (https://bit.ly/3AcD9cO) so we can help provide you with a solution. ^RJR",2023-07-24 05:08:53,snapchat is S.P.E.D,1,False,Terrible.,"I have been using spectrum for about a year or two now, and I’ve never been impressed with how terrible the service is. The app is next to useless, meaning it’s impossible to use. Everything glitches and at least once a week I am having major issues just using the Wi-Fi. Haven’t messed with the router or the modem, they stay in the same spot. Yet somehow even after going untouched there’s always something wrong with it. I pay $95 a month for possibly the worse internet service possible. Spectrum needs to up their game cause this is not the move what do ever. 1 more wifi shot off away from losing a customer. Fix your app and fix your service. The only reason I’m even giving spectrum a star is purely because I I can’t right the review without doing so. Half of a star is more than generous. That is all."
7,37771368.0,2023-07-19T12:04:37Z,"We apologize for the poor experience and would like to look into this issue further. Please contact us on Facebook (facebook.com/spectrum), Twitter (https://twitter.com/Ask_Spectrum) or visit our customer Community (https://community.spectrum.net) so we can collect some additional information from you and about your experience. ^RJR",2023-07-18 02:30:42,JDB from maine,1,False,Lying corrupt company,Lie to me once and you’re out. Setup Spectrum after we discussed in EXACT detail the arrangement I wanted to accommodate my second home being there sometimes and away other times. Chose lying corrupt Spectrum because they happily deceived me into signing up only to later tell me the temporary service suspensions didn’t work the way I was lied to. Again nothing was unclear at all - I made sure to give specific details and they deliberately lied to me. I am done for life and will leave this review in a few places. Such short sighted corrupt jerks. You should be thoroughly ashamed. Disgusting. You never think about the long term consequences or lifetime value of a customer before lying to them like this? All calls are recorded for quality control. Can all calls be sent to the FTC so they can evaluate your dishonesty?
8,,,,2023-06-09 16:56:42,Alice83,2,False,A shoddy app from a horrible ISP,"Spectrum, née TWC, is an awful company that actively spends the money we pay them to lobby for consumer and internet hostile policies. Their antipathy towards their customers is evident across this app. There is no working copy/paste or autofill for entering payment details (so you’ll need to hand type all your credit card information) and the lack of Apple Pay and other payment options shows how little they care. The “Spectrum WiFi” profile installation process is broken as well (tested on both iPhone and iPad). The only things working fully seem to be the self service support features (which reduces Spectrum’s phone support costs). In summary, this app is focused on saving Spectrum’s time/money, not yours."
9,,,,2023-06-01 00:24:24,gjsexehwbvwgsv,1,False,Been having problems with service,"Somehow in the last couple months.  I have been going through 30 gigs of data and have no clue what has changed as far as why I’m using so much data but they have begun throttling down the speeds and cellular survices once I go past 30 gigs which is their “unlimited plus” plan this is the same thing all the other company’s have done in the past which led to me going to spectrum. This wasn’t the case with spectrum before and it shouldn’t be now. to me an unlimited plan should truly be unlimited no matter what you’re charging for it if I sign up for an unlimited plan, I should get unlimited anything and everything that is included in that plan. I suggest Spectrum fix this, or they’re going to start losing business."
10,37272918.0,2023-06-22T13:42:39Z,"Thanks for taking the time to share your experience with us. Sorry to hear that your internet is not working correctly. For direct support, please reach out to us on Twitter (https://twitter.com/Ask_Spectrum) or on Facebook (m.me/Spectrum) or visit our community located at https://community.spectrum.net/discussions ^JF     ",2023-06-20 23:52:14,Missy8077,1,False,Help,"Your new WiFi boosting is not working properly for me or my area. I have all my devices set up for my home WiFi but Spectrum keeps disconnecting my home WiFi to connect me to a hot spot from Spectrum mobile. My WiFi and streaming continues to go on and off by itself. When it does this my home WiFi gets kicked off of all my streaming devices. Therefore making my streaming devices slow, or buffering, or looping. I then have to re-connect with my home WiFi back to all my streaming devices that are registered on my home WiFi network. This is a Spectrum Mobile problem as well as Spectrum Internet connectivity. I can’t talk to a live representative so I have no other choice but to leave this feedback here. Please fix accordingly. Thank you"
11,37980516.0,2023-07-30T14:30:53Z,"Thanks for taking the time to share your experience with us. For direct support, please reach out to us on Twitter (https://twitter.com/Ask_Spectrum) or on Facebook (m.me/Spectrum) or visit our community located at https://community.spectrum.net/discussions ^JF ",2023-07-28 19:34:32,102Aspen,1,False,Lying Rep,"I was cool paying $50 for internet with AT&T, walking in Walmart Spectrum employee stop me asking how much I pay for internet, told him $50/mth. Guy told me he can get me internet for $4.99 a month.. so I was interested, but I had just got AT&T. The guy said first bill would be $20 sum odd dollars, and then $4.99 a month, and everyone is eligible. So I called the number I was given and that representative said they should stop lying to customer to get them to go with Spectrum. She said you would have to be in a welfare program.. I’m ok with not paying 4.99 a month, but when I first bill came it was $65 dollars.. told the guy I would be ok if my bill just not over the $50 I was paying with AT&T. So far my first bill was $65. Very unprofessional to lie to a customer."
12,,,,2023-06-09 17:59:46,Hokie fan,5,False,Router,"I have purchased and tried 4 different routers in the past month. They worked for a little while, but then did not. Spoke with each of the router company’s customer support and never could get them to work consistently. I called Spectrum today and decided to try their router. I picked the equipment in their store, came home installed it, called Spectrum to connect it . . . Voila, it works perfectly and all my direct wired computers are screaming fast. That you Spectrum!"
13,,,,2023-06-04 11:31:43,Shianne Dawn,5,False,Spectrum,"I am one hundred percent on board with spectrum! From the way they helped me with deciding to go with the plan we finally got, to the self install, and now this app. Everything has been very matter of fact, and do it yourself! Now they even offer the mobile packages! Which if you asked me would be the only thing they could’ve added to make their company a total success! Bravo to their whole team. Thanks Spectrum!"
