,id,dev response date,dev response,review date,userName,review,rating,isEdited,review title
0,35171306.0,2023-03-02T19:50:01Z,"We're sorry that you're having issues with your service and we would like to help. Please contact us on Facebook (facebook.com/spectrum), Twitter (https://twitter.com/Ask_Spectrum) or visit our customer Community (https://community.spectrum.net) so we can help provide you with a solution.
",2023-03-01 16:55:19,BRANDON. LOVE,"I’ve had spectrum/time Warner Wi-Fi for over decade. It’s been okay. I’ve only had their cellular phone service for almost one year.  I’m a stay at home wife and it mostly works fine at home off my Wi-Fi in the house But it barely works when I’m out and about.  Sometimes it works, sometimes it doesn’t. I can’t count on it. If I’m out doing errands and I need to use the search or pull up an email it sometimes will and sometimes won’t. The map and the weather usually always work off my data but apps, email, websites, it’s very inconvenient. I had the same problem with my last provider that’s why I switched. Before that I had Verizon and they for sure were the best but way too expensive. Before that back, in the day I used Cricket and they were actually really good. The only reason I left them was because I started traveling and they didn’t have as many towers back then, that’s why I went to Verizon but nowadays all cell providers have plenty of towers. Yes it was a thing. Only the big companies like Verizon ATT Sprint, not sure if they’re still around, they were the big companies that had the best cellular coverage and the most towers. 
Anyway, I don’t know why it doesn’t work good outside my home Wi-Fi range.  It’s caused me a few issues now because I needed it to work when I was away from home and it didn’t and yes I made sure that cellular was turning on.",3,False,Spectrum Cellular
1,,,,2023-06-20 21:26:36,TheRealAldo,"I’ve been a Spectrum customer for almost 20 years (they were Insight before being bought by Charter).  I was having issues with both the Spectrum TV app and the MySpectrum app.  I was chatting with “Jonathan” via the chat feature on their website because the MySpectrum app wouldn’t load at all.  The representative was troubleshooting the issues and was unable to resolve anything.  He kept stating there was an issue with our internet which I know there wasn’t as I work from home full time utilizing our home internet and I’d had zero issues.  He asked if I could check if any other devices were having issues and I told him my husband doesn’t have the app so I didn’t know.  He then told me he needed to schedule a technician to come out to which I replied no thank you because this is an app issue not an internet issue.  As I’m chatting with him, my husband gets a text and email stating the contact settings have been changed to his information.  Mind you, I am the account owner and my husband was added afterwards as optional when he moved in.  My husband doesn’t even have the app to change anything and I couldn’t access the app to change anything.  So “Jonathan” apparently didn’t like that he couldn’t resolve my issue and didn’t like that a woman is the account owner with my information being the main contact so he changed it to my husband’s email and phone number.  I ended the chat then noticed on their website, there is an app outage.",1,False,Sexist customer service reps
2,,,,2023-03-03 00:26:01,samross19,"First of all, if you’re forced to get Spectrum as your wifi, I’m sorry. I was 18 when I first moved to my apartment for college and had to set up Spectrum WiFi. They gave us a router that was 4 generations outdated. It caused our WiFi to go in and out for 2 years. We were able to connect any devices other than laptops and phones to it, which doesn’t seem bad but we had multiple gaming devices that wouldn’t connect either. After two years, the old router finally went out and wouldn’t come back online. After MULTIPLE hours of talking to spectrum about fixing it on our end, they finally said we could bring it in to a store and replace our router for a new one. At 10pm after 24 hours without WiFi (mind you there are 4 college students living here who have work, class, and hw online) we replaced our router for a new one that was multiple generations ahead of what they had given us. We were so angry that they put us through it. We never complain about customer service, but this is the worst experience we’ve ever had. Scammers all around. Not only that, but during storms they will send storm warnings and give you links to check your area, but the links are never accurate and will never take you where you want to go. F spectrum all around.",1,False,Spectrum app and service is a scam
3,,,,2023-07-19 02:00:17,Martha4415,"I was out shopping and for some reason the Spectrum store really drew my attention. I stepped in, signed up and 15 minutes latter I had a same day appointment for a first time installation. I did this for my grandparents they  where never much of internet, iPads , computers, and sill have a S5 Iphones….
The spectrum technician Lee was on time. It took him by himself every bit of three hours to install cable from the electricity poll to the house. I felt so bad it was in the middle of June and the temperature was in the three digits. He never complained just smiled and assured my wide eyed grandparents the job would get done by 6pm.  He currently did complete the job on time. The then local channels only tv was transformed into a RUKO smart TV and Pluto Cinema.  
They are slowly progressing over to other applications. But the look on their faces was all made possible by the staff and of course Spectrum.  Thank you  for catching them up to the 21st century… or at least some of it. Thanks for reading !",4,False,My grandparents have never had internet since they bought their home in 1954
4,34672035.0,2023-02-04T11:32:58Z,"We're sorry that you're having issues with your service and we would like to help. Please contact us on Facebook (facebook.com/spectrum), Twitter (https://twitter.com/Ask_Spectrum) or visit our customer Community (https://community.spectrum.net) so we can help provide you with a solution. ^RJR",2023-02-03 03:35:09,jwhall640,"I’ve spent 26 hours trying to install all of this new stuff that keeps arriving to “upgrade our equipment” and nothing works. The history I could write would take another 26 hours but since I’m NOT being paid (or even credited) for
doing THEIR technician job, I’ll spare you.  Before you get suckered in, check out Alta Fiber or other competitors locally. They were a massive improvement over Time Warner when they purchased it and now, it’s the worst service I’ve ever received and ironically, the most expensive - and - it’s mostly supposed to be entertainment. It costs MORE than my Gas and Electric bill which btw, RARELY goes out and they never ask me, the customer, to self-install unsolicited new upgraded equipment (that ultimately doesn’t work!) SIMPLIFY before continuing to get deeper involved with Spectrum. I think it will be easier to sell this house, but a new one and move starting over with wireless infrastructure for TV and internet than to continue to build on this 23 year old system that enters the home from a single coax cable and then becomes some split octopus of abandoned wiring in my basement. Absolutely the worst company I’ve with which I’ve ever attempted to work. Richard W",1,False,WORST COMPANY EVER!!!
5,,,,2023-07-26 22:08:58,EvanGsix,"Spectrum does not have customer service they just have sale reps that try to sell you stuff instead of fixing your problems, my problem was that they secretly increased my price by 20 dollars and constantly kept down throttling me. I pay for 500Mb internet but could only get about 125Mb on a good day. I figured out that the modem they sent me was not capable of 500mb speeds. So I felt ripped of and switch my provider, well I tried to switch but they wouldn’t let me cancel. I told customer service I did not want any promotion deals because I already have my new internet provider set up. “All I want is to cancel”, And they just kept trying to sell me crap and trying to convince me to cancel with my other provider. I’m an not exaggerating that it took me about an hour to cancel my account, and I talked to a total of 3 different people. I was getting frustrated at this point, during this ordeal I kept hearing the person I was on the phone with giggling like it was a joke and her chattering with people in the background. 

0/10 will never use again",1,False,Customer service?
6,,,,2023-06-30 14:36:50,Josanni B,"I’ve had spectrum for about two years now, as that is the only provider available at my apartment complex. I STILL have not had a full day of my internet working. When it does “work” it’s either slow as molasses, or will just disconnect from everything and reconnect ALL ON ITS OWN in about 5 minutes, which I’d argue is worse than it just not working at all. When I go to my mothers house on the other side of town, the Internet won’t reach any room that is not the living room (where the router and modem are). They have had dozens of techs come out and even upgraded their package for stronger internet that works even WORSE than the cheaper option. If I could give negative stars I really would. Don’t bother calling spectrum unless you want the run around or be told “move somewhere else so you can get better reception”. All the tech did was look at things we already looked at and told us things WE TOLD THEM. Really, really bad service.",1,False,Terrible Service. Choose a different provider if you have the option
7,37863233.0,2023-07-24T10:39:39Z,"We're sorry that you're having issues with your service and we would like to help. Please contact us on Facebook (facebook.com/spectrum), Twitter (https://twitter.com/Ask_Spectrum) or visit our customer Community (https://community.spectrum.net) so we can help provide you with a solution. ^RJR",2023-07-22 19:00:13,Wendy in Wisconsin,"I’ve been trying to get help for two weeks.  Billing , technical support,
Customer service.  All are separate services and they just keep passing you on to another service and you have to explain over and over again.  If while you are talking to them and the call drops they can’t call out to call you back.  Then you try to call back to finish the conversation and you can’t talk to the person you were talking to.  Guess what?  You have to start all over again with a new person.  I bet if they look at the notes they took down while talking to me they’ll see I was passed on to 6-9 people .  Spectrum is great for Internet but are clueless to think they can run a successful mobile company!  I need to get this straightened out so I have a phone that actually can work.  One representative told me today that they began mobile service in 2018.  That’s 5 years ago.  Give it up spectrum because we spread the word and you’re losing all of us.",1,False,Clueless customer service
8,,,,2023-01-08 06:20:22,roy william g,"Spectrum is really a poor quality service that don’t tell their customers or keep the customers update then they take their customers free rights away on what kind of router can be installed and who has control which in all aspects those says it should be left me to Port forward nodded some app. There is no security issue with it. They just want to keep a eye on you and that’s how they do because they let anybody know I can get into any IP address regarding the Internet when I was speaking to a representative on the phone they said every network I had on my line that’s kind of crazy and I shouldn’t be asked for why I need a port set up. Questions should be asked that app does not always give me guaranteed to hit port select because it’s grayed out. 
And for me to pay $25 a month can’t have my local channels for this spectrum TV app that’s kind of crazy for the essential plan don’t you get it spectrum cable is outdated so 90s everybody streams now",1,False,Specters really a poor company
9,,,,2023-05-28 15:22:53,HarChristine,"I’ve had AT&T for the last two years and always had very poor customer service. Because of where I lived, it was the only option. I recently moved and thought I was going to transfer my services, but checked out Spectrum offers. Not only was Spectrum $30 cheaper, they also had the BEST customer service. There were no extra fees, I was able to get my service on the same day, and everyone I spoke to was extremely nice. 

When I told AT&T I wanted to cancel, they tried to offer me more speed at the same price, but Spectrum was still more affordable. When I mentioned this, they got a bad attitude and became very short with me. All to say, I’m thrilled to be a Spectrum customer!",5,False,AT&T can’t compare
