author,title,review,original_title,original_review,stars,iso,version,date,deleted,has_response,product,product_id,product_name,vendor_id,store,weight,id,predicted_langs,tags
àirramm,My service,"Excellent service 
Great customer service",My service,"Excellent service 
Great customer service",5.0,US,,2023-08-01T16:22:28,False,False,40423315838,40423315838,My Spectrum,942608209,apple,2,40423315838LgGOLp68WDzXSvmdxD1coRw,en;la;ca;fr;ro,
rockie19716,Payments,I am happy with the app to make payments,Payments,I am happy with the app to make payments,4.0,US,11.14.1,2023-08-01T03:13:22,False,False,40423315838,40423315838,My Spectrum,942608209,apple,2,40423315838LDv0rUmsspXoyx57wNP-yZA,en,
4Evr a gem,Ridiculously overpriced,"I have no other services except a basic internet and I pay almost 100.00 a month !
You don’t reward your loyal customers! I started with a service at 49.99 about 6 yrs ago and all you do is raise your rates without appreciating loyalty. I will be changing company’s now that I have a number of other options for a lot less!",Ridiculously overpriced,"I have no other services except a basic internet and I pay almost 100.00 a month !
You don’t reward your loyal customers! I started with a service at 49.99 about 6 yrs ago and all you do is raise your rates without appreciating loyalty. I will be changing company’s now that I have a number of other options for a lot less!",1.0,US,11.14.1,2023-08-01T01:01:26,False,False,40423315838,40423315838,My Spectrum,942608209,apple,2,40423315838LBKty83tqToAG5m4Y7hjp3A,en,
JeaLee Daige,Love it,Awesome thanks,Love it,Awesome thanks,4.0,US,11.14.1,2023-07-31T23:16:26,False,False,40423315838,40423315838,My Spectrum,942608209,apple,2,40423315838LadcEfLC8iI_K8OaLq15M_A,en,
igorhvac,The best mobile coverage,I switched from Verizon and it’s perfect,The best mobile coverage,I switched from Verizon and it’s perfect,5.0,US,11.14.1,2023-07-31T21:56:55,False,False,40423315838,40423315838,My Spectrum,942608209,apple,2,40423315838LU5Rj8xcAIiemoZPluQ7yEA,en,
kphgyvchc,Had a issue here 30 mins later,The best,Had a issue here 30 mins later,The best,5.0,US,11.14.1,2023-07-31T20:57:19,False,False,40423315838,40423315838,My Spectrum,942608209,apple,2,40423315838LlFMILzcWQhyd6XT42FSFaQ,en,
Headdurrrrrrr,Good,"Reliable, easy to navigate, always up to date",Good,"Reliable, easy to navigate, always up to date",3.0,US,11.14.1,2023-07-31T18:16:09,False,False,40423315838,40423315838,My Spectrum,942608209,apple,2,40423315838L1x6vNPLk1uenXm8z-G1fLw,en;tl;af;ceb,
Warrior1960,Used to be a good app and company,Unfortunately this year Charter/Spectrum has become a sad joke. I used it exclusively for internet services and it’s damned frustrating to only be able to login on my laptop a couple times per month at best. Service calls never get through and communications end up with me being on hold for hours. I’ve finally had it with such terrible customer service and support. 👎👎👎,Used to be a good app and company,Unfortunately this year Charter/Spectrum has become a sad joke. I used it exclusively for internet services and it’s damned frustrating to only be able to login on my laptop a couple times per month at best. Service calls never get through and communications end up with me being on hold for hours. I’ve finally had it with such terrible customer service and support. 👎👎👎,1.0,US,11.14.1,2023-07-31T18:10:24,False,False,40423315838,40423315838,My Spectrum,942608209,apple,2,40423315838LIvsi2Uu6gbQSrXwl8JG5gg,en,
Star_moser,Great service,The app works well and the service is great!,Great service,The app works well and the service is great!,5.0,US,11.14.1,2023-07-31T16:24:46,False,False,40423315838,40423315838,My Spectrum,942608209,apple,2,40423315838LabO57SNMO6fNr9CbyiW6cA,en,
cornell.gibson,For a big big,Come to our office to our,For a big big,Come to our office to our,5.0,US,11.14,2023-07-31T09:05:43,False,False,40423315838,40423315838,My Spectrum,942608209,apple,2,40423315838L0ufSiTNJz5AWHasLPc1kLw,en,
