author,title,review,original_title,original_review,stars,iso,version,date,deleted,has_response,product,product_id,product_name,vendor_id,store,weight,id,tags,predicted_langs
GetLeafyProducts,Thank you,Best internet options ever. Perfect for my business as well,Thank you,Best internet options ever. Perfect for my business as well,5.00,US,11.11,2023-06-20T18:35:01,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838Lhpej1QizrYx-2WUjId15Yw,"pricing;gameplay",en
BACC503,También contamos,Es muy buena pero necesitamos español,También contamos,Es muy buena pero necesitamos español,4.00,US,11.11,2023-06-20T11:09:00,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838L2LbxjbvHABUq5bGdk9c86A,,es
angieb1971,Service,This service is terrible I’m will be leaving soon,Service,This service is terrible I’m will be leaving soon,3.00,US,11.11,2023-06-20T11:04:16,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LFXkgA9TwP_RVfK10Ey2xDQ,app_performance,en
Angela571,Ms A,Two thumbs up!,Ms A,Two thumbs up!,4.00,US,11.11,2023-06-20T04:19:47,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LY5CtfHOxywsgPqQBnQYuAQ,,"en;sw;ceb;jv;tl"
nanniebear69,Costly,It is costing too much. May make a change.  Also want to why my internet is so high.,Costly,It is costing too much. May make a change.  Also want to why my internet is so high.,4.00,US,11.11,2023-06-19T20:04:48,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LUrx812Ty0Ch671GI4NLjww,"pricing;gameplay;app_performance",en
vruiz08,Not great service,I think the service is over priced for services that go in and out a lot of times.,Not great service,I think the service is over priced for services that go in and out a lot of times.,2.00,US,11.11,2023-06-19T16:11:24,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838Lx_Mwt4KZvVmnFC4SCSmW9Q,"pricing;gameplay",en
vovgam,"Excessive battery usage, during the night even in low power mode","Turn off that background refresh to save your battery. This app drained my battery overnight,  from 45% to 15%. According to the battery stats, My Spectrum app had 98% background activity compared to all my other apps throughout the night.","Excessive battery usage, during the night even in low power mode","Turn off that background refresh to save your battery. This app drained my battery overnight,  from 45% to 15%. According to the battery stats, My Spectrum app had 98% background activity compared to all my other apps throughout the night.",1.00,US,11.11,2023-06-19T16:07:32,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LG0NiguN5lsrRWgL4PWeYQw,"pricing;app_performance",en
lightpaintress,Constant down time,"If I wanted Verizon’s crappy service, I would have gotten a phone through Verizon. Ridiculous down times of my apps not working.",Constant down time,"If I wanted Verizon’s crappy service, I would have gotten a phone through Verizon. Ridiculous down times of my apps not working.",1.00,US,11.11,2023-06-19T16:02:30,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838L_F3CGEIj_DnW3yp5NV4uog,"pricing;app_performance",en
Sruppert,Cannot sign into app,"For the past month I have had issues with the my spectrum app. The timer just spins and never connects. I have deleted and reinstalled several times but no luck. Was the app updated within the last month? If so, you broke something. I use this app to notify when to pay each month. Please fix this, worked great before.
6-19-23
This is updated, the app was fixed after the first review, but you have updated again and now unable to sign in again. Please fix this!",Cannot sign into app,"For the past month I have had issues with the my spectrum app. The timer just spins and never connects. I have deleted and reinstalled several times but no luck. Was the app updated within the last month? If so, you broke something. I use this app to notify when to pay each month. Please fix this, worked great before.
6-19-23
This is updated, the app was fixed after the first review, but you have updated again and now unable to sign in again. Please fix this!",3.00,US,11.11,2023-06-19T14:18:21,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LiYNyELaQVwGugpUApivbxg,"pricing;app_performance",en
damonkuvalis,I’m not going home because,The first thing that happens,I’m not going home because,The first thing that happens,5.00,US,11.11,2023-06-19T02:43:04,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838L_T-gl4NhfzfByzIjIL50KQ,app_performance,en
Izzy Snow101,good app design,easy and functional app interface,good app design,easy and functional app interface,5.00,US,11.11,2023-06-19T02:41:45,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LOG2IWdCIopLDW2qQ-f_iuQ,"gameplay;app_performance","en;la;fr;es"
199444444444,Spectrum Internet,"Too many outages! When the outages happen , it takes 24 hours to get internet back on. Hardly get notifications on app and txt messages when there is an outage! -.-",Spectrum Internet,"Too many outages! When the outages happen , it takes 24 hours to get internet back on. Hardly get notifications on app and txt messages when there is an outage! -.-",3.00,US,11.11,2023-06-18T15:30:35,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838L0negQw_zZuaKhd-LgXpmnA,,en
styvfdyjmbgt,I’m not going anywhere else,We will get the new,I’m not going anywhere else,We will get the new,5.00,US,11.11,2023-06-18T09:35:00,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LcwBrqQhYRksKYJp9zF7aWQ,pricing,en
VersaMax,Excessive Forced Updates,"These updates are interruptive and offer marginal benefits (if any at all).  
Apps that are done properly, shouldn’t need monthly updates to fix “bugs”.",Excessive Forced Updates,"These updates are interruptive and offer marginal benefits (if any at all).  
Apps that are done properly, shouldn’t need monthly updates to fix “bugs”.",2.00,US,11.11,2023-06-18T00:36:28,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LfLiHloEfgsoTsI8SMkizLQ,"pricing;app_performance",en
Taking My Business Elsewhere,So Secure I Can’t Even View My Statement,"I can’t view my statements anymore because it’s asking for the security code off my statement, which I don’t know because it’s on my statement. So in order to view my statement I need to have my statement available to get the code off of it. 
This is ridiculous. Please find another means to verify identity rather than this poor method. This is an internet bill not a bank account, a simple email or text message is more than enough to verify my identity for the account. 
Please fix it.",So Secure I Can’t Even View My Statement,"I can’t view my statements anymore because it’s asking for the security code off my statement, which I don’t know because it’s on my statement. So in order to view my statement I need to have my statement available to get the code off of it. 
This is ridiculous. Please find another means to verify identity rather than this poor method. This is an internet bill not a bank account, a simple email or text message is more than enough to verify my identity for the account. 
Please fix it.",1.00,US,11.11,2023-06-17T18:16:28,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LHrQZ-fHdBi0U4MTeo6Ua1A,"pricing;gameplay;app_performance",en
Marti_Mar96,Great job,Works great. Never have issues,Great job,Works great. Never have issues,5.00,US,11.11,2023-06-17T17:48:31,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838L-0_LN6XAJZvDTHWfrzi-Rw,"gameplay;app_performance","en;da"
Martyrdz72,Happy client,The app is friendly and easy to navigate,Happy client,The app is friendly and easy to navigate,5.00,US,11.11,2023-06-17T17:27:33,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LnSkI5Sj1vuBcMA-Tcnqstg,"gameplay;app_performance",en
Annooooyedcustomer,Almost never works,"This app only works 20% of the time I try to use it on my phone. Downloaded on a separate device still won’t let me log in. Schedules for devices don’t work properly, then when your device is suppose to be online it’s offline and you can’t even turn it back online because it doesn’t let you log in. Beyond frustrating.",Almost never works,"This app only works 20% of the time I try to use it on my phone. Downloaded on a separate device still won’t let me log in. Schedules for devices don’t work properly, then when your device is suppose to be online it’s offline and you can’t even turn it back online because it doesn’t let you log in. Beyond frustrating.",1.00,US,11.11,2023-06-17T02:24:45,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LNzuIdm60TFNvRxPtADc-Ig,app_performance,en
Bsonko74,Helpful,"A wonderful app, I have total control of my internet modem and the convenience of paying my monthly bills.",Helpful,"A wonderful app, I have total control of my internet modem and the convenience of paying my monthly bills.",4.00,US,11.11,2023-06-16T23:27:05,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LIjleah0Z0NxVRBgEJys6jg,"pricing;gameplay",en
ineed30charatarstowritethis,App doesn't work after last update,Can't access payment or billing to make a payment. Constant issues is making me not want internet with spectrum these days,App doesn't work after last update,Can't access payment or billing to make a payment. Constant issues is making me not want internet with spectrum these days,1.00,US,11.11,2023-06-16T21:33:56,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LwqUFeqcWmuJ0j_Rh3dTdHQ,"pricing;app_performance",en
rilliejillie,Happy,"Very, thank you",Happy,"Very, thank you",5.00,US,11.11,2023-06-16T16:00:04,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LkqFdrn3lWbWVc_nwUXDEcg,,"en;af;ceb;tl;war"
Randomly player,I can’t do all the things,My app does not look like the pictures. I cannot do all the things that this app says I can. My app is up to date and I have uninstalled and reinstalled. No help. It doesn’t even recognize my router. Boo,I can’t do all the things,My app does not look like the pictures. I cannot do all the things that this app says I can. My app is up to date and I have uninstalled and reinstalled. No help. It doesn’t even recognize my router. Boo,2.00,US,11.11,2023-06-16T14:42:20,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LJmWx92vLEpoKCECKdtHhhw,"gameplay;app_performance",en
Diamon13,Spectrum app,It’s easy for me to pay my Wi-Fi bill.,Spectrum app,It’s easy for me to pay my Wi-Fi bill.,3.00,US,11.11,2023-06-16T13:35:57,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LUKIdziSCdbdFChvU1OQEUA,pricing,"en;la"
fifijude,Why so many updates??,I only use this app to pay my monthly bill- why is it that every time I go to open the app it needs an update but there are no noticeable changes??,Why so many updates??,I only use this app to pay my monthly bill- why is it that every time I go to open the app it needs an update but there are no noticeable changes??,2.00,US,11.11,2023-06-16T12:13:26,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838L9tdAs48iv5JBdyTLqlQ2ig,"pricing;app_performance",en
eolson817,Amazing can’t believe it’s so quick to change my IP address!,You are amazing keep up the good work!,Amazing can’t believe it’s so quick to change my IP address!,You are amazing keep up the good work!,5.00,US,11.11,2023-06-16T04:16:08,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LFM0Y3_KKZ1_Jbah7qvsN1w,"pricing;gameplay;app_performance",en
Beagle groomer,App,Spectrum app easy to use.,App,Spectrum app easy to use.,5.00,US,11.11,2023-06-15T20:51:30,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LC7mdx6aIbHxFdUjAKR5FAQ,,"en;la"
CandieKissesbycandace,User friendly,Love how easy it is to use and make payments without having to call or leave my home,User friendly,Love how easy it is to use and make payments without having to call or leave my home,5.00,US,11.11,2023-06-15T18:37:26,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LN2FOaxxpnbe5nV9p5BwrtA,,en
Spectrumvirus,Watch for deceiving reps.,"Don’t appreciate my billing statement showing a current balance of 263.and cents when my payment is $250.01 had to call in to verify and make sure there is no current balance due. Which your rep verified and gave me the correct payment due of $250.01. Although my screen still show a current balance of $263 and cents even after the new update for your app was made on my phone. Please review my account because I know I have requested to have my billing statement to state a due amount on the 19th because was when I started business with you and my disability check comes in in the middle of the month. So as it does look that I am paying late. I was told it wouldn’t effect me. But it does on my credit score. Why can’t you all comply with me? 
Respectfully 
Maria Rosalinda Benavidez",Watch for deceiving reps.,"Don’t appreciate my billing statement showing a current balance of 263.and cents when my payment is $250.01 had to call in to verify and make sure there is no current balance due. Which your rep verified and gave me the correct payment due of $250.01. Although my screen still show a current balance of $263 and cents even after the new update for your app was made on my phone. Please review my account because I know I have requested to have my billing statement to state a due amount on the 19th because was when I started business with you and my disability check comes in in the middle of the month. So as it does look that I am paying late. I was told it wouldn’t effect me. But it does on my credit score. Why can’t you all comply with me? 
Respectfully 
Maria Rosalinda Benavidez",3.00,US,11.11,2023-06-15T18:22:57,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LNoGzs3nABaSnMsov1V0bFA,,en
Mimi Cou,Outages,We have had several outages mid day when I work from home and no credits on our bills,Outages,We have had several outages mid day when I work from home and no credits on our bills,3.00,US,11.11,2023-06-15T13:41:55,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LrWrM4OJJ4E9OiTGd52IXZg,,en
Dottrum,Spectrum,Good,Spectrum,Good,3.00,US,11.11,2023-06-15T13:01:47,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LCAt5iZuMccRUIiJbEMp1fQ,,"la;en;ro"
The Browns of NH,Requiring minor updates?,"So if there are minor updates needed I can’t pay my bill via app?  The update can’t fit on my phone right now until I upgrade it. Shouldn’t be a requirement to use app to make a payment, in fact I believe there are laws around that.",Requiring minor updates?,"So if there are minor updates needed I can’t pay my bill via app?  The update can’t fit on my phone right now until I upgrade it. Shouldn’t be a requirement to use app to make a payment, in fact I believe there are laws around that.",1.00,US,11.11,2023-06-15T10:55:07,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LEhmOdmVWvGaaCS_ty7qwsw,"pricing;app_performance",en
Shellbacknh,Multiple accounts?,"Sure would be great if we could view multiple accounts in the app. Other than that limitations, pretty useful app.",Multiple accounts?,"Sure would be great if we could view multiple accounts in the app. Other than that limitations, pretty useful app.",4.00,US,11.11,2023-06-15T10:55:02,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LiSlVpyEH6abkg7dB23fNOw,gameplay,en
b😍❤️,Payment,It was easy and convenient,Payment,It was easy and convenient,5.00,US,11.11,2023-06-15T05:17:23,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LjIIO_wm_Z8KfHqtgjqdTsQ,gameplay,en
DuhGlizzy3000,Leaders in being slow,"probably one of the number one internet providers in the states.. they will still take 10 hours to restore your service, the internet is good i really enjoy mine however whenever it goes down y’all take ages to get it back up kinda pathetic seems like y’all just have a bunch of guys with rocks for brains.",Leaders in being slow,"probably one of the number one internet providers in the states.. they will still take 10 hours to restore your service, the internet is good i really enjoy mine however whenever it goes down y’all take ages to get it back up kinda pathetic seems like y’all just have a bunch of guys with rocks for brains.",1.00,US,11.11,2023-06-15T03:40:03,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LMaj_vd2h9-TylIWblCRZ0Q,"gameplay;app_performance",en
luna di noia,App,Easy to use,App,Easy to use,5.00,US,11.11,2023-06-14T22:13:57,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LBTbLeLILwdyX4jwq4ANl_Q,,"en;ceb;fi;war;nn"
squishyfloof,EASY TO USE,"I’m not the most technologically advanced human being, but this app is so easy to use even a Neanderthal could use it 💀",EASY TO USE,"I’m not the most technologically advanced human being, but this app is so easy to use even a Neanderthal could use it 💀",5.00,US,11.11,2023-06-14T21:35:43,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LBAOgKWXWC0k7g0mm8kBhLA,gameplay,en
Whlrdlr85,Simple,Enough said,Simple,Enough said,4.00,US,11.11,2023-06-14T19:13:40,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LnonwuHdMx0oDUWQHoN0CzA,,"en;fr;an;br;oc"
RR&K,Fácil para ubicar la Información,Fácil ubicar la información y el acceso a la “plataforma”.,Fácil para ubicar la Información,Fácil ubicar la información y el acceso a la “plataforma”.,4.00,US,,2023-06-14T12:53:06,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838L-39A7Lo3FeM-PDtrA5hFOw,,"es;an;ca;gl"
ayham G S,It is very accessible to use,It's a great app to use. It's very accessible and friendly.,It is very accessible to use,It's a great app to use. It's very accessible and friendly.,5.00,US,,2023-06-14T10:12:40,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LgHjIc7DtceSNOL1FId6agg,,en
Nicole Tainted,No point,Not very good. After I got mobile service I can no longer see my internet info in the app. I have to go on the website to see such info. It’s needs to be more inclusive of all services. Will be deleting,No point,Not very good. After I got mobile service I can no longer see my internet info in the app. I have to go on the website to see such info. It’s needs to be more inclusive of all services. Will be deleting,1.00,US,,2023-06-14T08:41:24,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LdsyIqUMDzGYFWGzA8gEnPA,,en
lucindaschultz,Have a fun time at,Great app to keep it,Have a fun time at,Great app to keep it,5.00,US,,2023-06-14T08:14:35,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LCDBzqC6gQOU_6fIviA3NTA,,en
Angery American Vet,App ordering system is down? For 3 months?,"This app is terrible as I have tried ordering Wi-Fi pods 3 times each time a different month. This big service provider can’t even get a simple ordering system correct for an app, and this is just one of many things this company falls short on.  The customer service is terrible, service is spotty and yes I pay the top tier for internet service.",App ordering system is down? For 3 months?,"This app is terrible as I have tried ordering Wi-Fi pods 3 times each time a different month. This big service provider can’t even get a simple ordering system correct for an app, and this is just one of many things this company falls short on.  The customer service is terrible, service is spotty and yes I pay the top tier for internet service.",1.00,US,11.10,2023-06-14T00:56:30,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LiTzKy1PWKLswWwcyNSJKfw,"pricing;app_performance",en
Mpjklpl,Update app please,I cant even create my account it just loads non stop anyone else have this problem?,Update app please,I cant even create my account it just loads non stop anyone else have this problem?,1.00,US,11.10,2023-06-13T21:13:53,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LoHLrA1XVhej16b-Ia8IyrQ,app_performance,en
spirit @62,Price for seniors on social security 🙁🙁👎🏻👎🏻👎🏻👎🏻👎🏻,👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻,Price for seniors on social security 🙁🙁👎🏻👎🏻👎🏻👎🏻👎🏻,👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻,1.00,US,11.10,2023-06-13T20:43:40,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838L6nPDR3JcMTp9kfaT8Sbb-Q,,"en;ro;ca;la;es"
Jr mcloven,Grea,"It’s fast and takes the pain away of paying bills, other then the cost",Grea,"It’s fast and takes the pain away of paying bills, other then the cost",5.00,US,11.10,2023-06-13T19:31:46,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838L8osW1aIWWb8CsGAvd0p56w,"pricing;app_performance",en
Me and the monkeys,Worst app ever,This app never works!  It constantly can’t log me in to pay my bill!  I already tried logging in 16x today because spectrum has already started early this morning with their harassing constant calls! Maybe if the app worked I could log in and pay!  Maybe instead of investing in spam calls you could fix your app!,Worst app ever,This app never works!  It constantly can’t log me in to pay my bill!  I already tried logging in 16x today because spectrum has already started early this morning with their harassing constant calls! Maybe if the app worked I could log in and pay!  Maybe instead of investing in spam calls you could fix your app!,1.00,US,11.10,2023-06-13T12:56:36,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LYt3RQu0UrfUG_E5hUHgP4A,app_performance,en
Pixwixful,Great Service,The Wi-Fi speed is robust. We are enjoying the service.,Great Service,The Wi-Fi speed is robust. We are enjoying the service.,5.00,US,11.10,2023-06-13T12:06:20,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838L239a73PGT6swJ0GLbmSEVg,"pricing;app_performance",en
Ardix 2409,Hi,I like it very easy to use,Hi,I like it very easy to use,5.00,US,11.10,2023-06-13T06:52:56,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LBfEWf5yHT63vFGMPLWA5Mg,gameplay,"en;af;nn;no;sq"
JAnimalK,Internet fluctuates in area,Sometimes it works sometimes it doesn’t I’m trying to complete assignments and it presents issues for me,Internet fluctuates in area,Sometimes it works sometimes it doesn’t I’m trying to complete assignments and it presents issues for me,3.00,US,11.10,2023-06-13T01:24:39,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838Lo3AnFei22oymrJmhqshFbA,,en
