author,title,review,original_title,original_review,stars,iso,version,date,deleted,has_response,product,product_id,product_name,vendor_id,store,weight,id,predicted_langs
àirramm,My service,"Excellent service 
Great customer service",My service,"Excellent service 
Great customer service",5.00,US,,2023-08-01T16:22:28,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LgGOLp68WDzXSvmdxD1coRw,"en;la;ca;fr;ro"
rockie19716,Payments,I am happy with the app to make payments,Payments,I am happy with the app to make payments,4.00,US,11.14.1,2023-08-01T03:13:22,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LDv0rUmsspXoyx57wNP-yZA,en
4Evr a gem,Ridiculously overpriced,"I have no other services except a basic internet and I pay almost 100.00 a month !
You don’t reward your loyal customers! I started with a service at 49.99 about 6 yrs ago and all you do is raise your rates without appreciating loyalty. I will be changing company’s now that I have a number of other options for a lot less!",Ridiculously overpriced,"I have no other services except a basic internet and I pay almost 100.00 a month !
You don’t reward your loyal customers! I started with a service at 49.99 about 6 yrs ago and all you do is raise your rates without appreciating loyalty. I will be changing company’s now that I have a number of other options for a lot less!",1.00,US,11.14.1,2023-08-01T01:01:26,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LBKty83tqToAG5m4Y7hjp3A,en
JeaLee Daige,Love it,Awesome thanks,Love it,Awesome thanks,4.00,US,11.14.1,2023-07-31T23:16:26,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LadcEfLC8iI_K8OaLq15M_A,en
igorhvac,The best mobile coverage,I switched from Verizon and it’s perfect,The best mobile coverage,I switched from Verizon and it’s perfect,5.00,US,11.14.1,2023-07-31T21:56:55,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LU5Rj8xcAIiemoZPluQ7yEA,en
kphgyvchc,Had a issue here 30 mins later,The best,Had a issue here 30 mins later,The best,5.00,US,11.14.1,2023-07-31T20:57:19,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LlFMILzcWQhyd6XT42FSFaQ,en
Headdurrrrrrr,Good,"Reliable, easy to navigate, always up to date",Good,"Reliable, easy to navigate, always up to date",3.00,US,11.14.1,2023-07-31T18:16:09,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838L1x6vNPLk1uenXm8z-G1fLw,"en;tl;af;ceb"
Warrior1960,Used to be a good app and company,Unfortunately this year Charter/Spectrum has become a sad joke. I used it exclusively for internet services and it’s damned frustrating to only be able to login on my laptop a couple times per month at best. Service calls never get through and communications end up with me being on hold for hours. I’ve finally had it with such terrible customer service and support. 👎👎👎,Used to be a good app and company,Unfortunately this year Charter/Spectrum has become a sad joke. I used it exclusively for internet services and it’s damned frustrating to only be able to login on my laptop a couple times per month at best. Service calls never get through and communications end up with me being on hold for hours. I’ve finally had it with such terrible customer service and support. 👎👎👎,1.00,US,11.14.1,2023-07-31T18:10:24,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LIvsi2Uu6gbQSrXwl8JG5gg,en
Star_moser,Great service,The app works well and the service is great!,Great service,The app works well and the service is great!,5.00,US,11.14.1,2023-07-31T16:24:46,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LabO57SNMO6fNr9CbyiW6cA,en
cornell.gibson,For a big big,Come to our office to our,For a big big,Come to our office to our,5.00,US,11.14,2023-07-31T09:05:43,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838L0ufSiTNJz5AWHasLPc1kLw,en
Troubleshooterusa,Awesome tools helpful,Amazing,Awesome tools helpful,Amazing,5.00,US,11.14,2023-07-31T06:39:22,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LSte8bn1Gyy8JwHxK47fw-w,"en;af;nl;sw;an"
Sampler’s,Spectrum Outage,We have had WIFI for well over 24hrs and it’s starting to get frustrating…😡,Spectrum Outage,We have had WIFI for well over 24hrs and it’s starting to get frustrating…😡,1.00,US,11.14,2023-07-31T06:02:37,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LOpqHJ44cTyIzpgmZxEVw9A,"en;da;nn"
Leland House,Love it,I love this app super easy and convenient,Love it,I love this app super easy and convenient,5.00,US,11.14,2023-07-30T19:53:29,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838L_oODbKMTKRIC_YsL-iF4Jw,"en;la;fr"
Buffalowings702,Horrible company!,"I am a long time Spectrum customer who switched from DirecTV when their bills became outrageous. Spectrum is now worse, if that’s even possible! There is NO competition and these companies have no interest in keeping long time customers happy. They only care about new ones.",Horrible company!,"I am a long time Spectrum customer who switched from DirecTV when their bills became outrageous. Spectrum is now worse, if that’s even possible! There is NO competition and these companies have no interest in keeping long time customers happy. They only care about new ones.",1.00,US,11.14,2023-07-30T17:09:41,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LHUd1a8x603Y4Zsvl0V0c5g,en
Tha best hands down..,Grateful for the savings,"In these times where everything is getting expensive and folks are finding it hard to do the things they could pre Covid . I am grateful for spectrum for giving us some savings and relief to still enjoy our lives and relax in our home and enjoy our shows and movies 
   Thank you for the opportunity to help us save a few coins",Grateful for the savings,"In these times where everything is getting expensive and folks are finding it hard to do the things they could pre Covid . I am grateful for spectrum for giving us some savings and relief to still enjoy our lives and relax in our home and enjoy our shows and movies 
   Thank you for the opportunity to help us save a few coins",5.00,US,11.14,2023-07-30T14:07:41,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838L4wTMclQ_sr5aOEO47VX9Yw,en
"John Klopp- Greensboro, NC",Enjoy the quick service of the account updating,"I really enjoy when I pay my bill that the funds are withdrawn quickly, my account is updated quickly and I have the receipt in my email within seconds.
This is a great service that Duke Energy has implemented.",Enjoy the quick service of the account updating,"I really enjoy when I pay my bill that the funds are withdrawn quickly, my account is updated quickly and I have the receipt in my email within seconds.
This is a great service that Duke Energy has implemented.",5.00,US,11.14,2023-07-30T14:00:52,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LBAYGav33jrT6YNnqBArToQ,en
